"time","left.out"
0,0
0.001,0.00628314
0.002,0.012566
0.003,0.0188484
0.004,0.0251301
0.005,0.0314108
0.006,0.0376902
0.007,0.0439681
0.008,0.0502443
0.009,0.0565185
0.01,0.0627905
0.011,0.06906
0.012,0.0753268
0.013,0.0815906
0.014,0.0878512
0.015,0.0941083
0.016,0.100362
0.017,0.106611
0.018,0.112856
0.019,0.119097
0.02,0.125333
0.021,0.131564
0.022,0.13779
0.023,0.144011
0.024,0.150226
0.025,0.156434
0.026,0.162637
0.027,0.168833
0.028,0.175023
0.029,0.181206
0.03,0.187381
0.031,0.193549
0.032,0.19971
0.033,0.205863
0.034,0.212007
0.035,0.218143
0.036,0.224271
0.037,0.230389
0.038,0.236499
0.039,0.242599
0.04,0.24869
0.041,0.254771
0.042,0.260842
0.043,0.266902
0.044,0.272952
0.045,0.278991
0.046,0.285019
0.047,0.291036
0.048,0.297042
0.049,0.303035
0.05,0.309017
0.051,0.314987
0.052,0.320944
0.053,0.326888
0.054,0.33282
0.055,0.338738
0.056,0.344643
0.057,0.350534
0.058,0.356412
0.059,0.362275
0.06,0.368125
0.061,0.373959
0.062,0.379779
0.063,0.385584
0.064,0.391374
0.065,0.397148
0.066,0.402906
0.067,0.408649
0.068,0.414376
0.069,0.420086
0.07,0.425779
0.071,0.431456
0.072,0.437116
0.073,0.442758
0.074,0.448383
0.075,0.45399
0.076,0.45958
0.077,0.465151
0.078,0.470704
0.079,0.476238
0.08,0.481754
0.081,0.48725
0.082,0.492727
0.083,0.498185
0.084,0.503623
0.085,0.509041
0.086,0.51444
0.087,0.519817
0.088,0.525175
0.089,0.530511
0.09,0.535827
0.091,0.541121
0.092,0.546394
0.093,0.551646
0.094,0.556876
0.095,0.562083
0.096,0.567269
0.097,0.572432
0.098,0.577573
0.099,0.58269
0.1,0.587785
0.101,0.592857
0.102,0.597905
0.103,0.60293
0.104,0.60793
0.105,0.612907
0.106,0.61786
0.107,0.622788
0.108,0.627691
0.109,0.63257
0.11,0.637424
0.111,0.642253
0.112,0.647056
0.113,0.651834
0.114,0.656586
0.115,0.661312
0.116,0.666012
0.117,0.670686
0.118,0.675333
0.119,0.679953
0.12,0.684547
0.121,0.689114
0.122,0.693653
0.123,0.698165
0.124,0.70265
0.125,0.707107
0.126,0.711536
0.127,0.715936
0.128,0.720309
0.129,0.724653
0.13,0.728969
0.131,0.733255
0.132,0.737513
0.133,0.741742
0.134,0.745941
0.135,0.750111
0.136,0.754251
0.137,0.758362
0.138,0.762443
0.139,0.766493
0.14,0.770513
0.141,0.774503
0.142,0.778462
0.143,0.782391
0.144,0.786288
0.145,0.790155
0.146,0.79399
0.147,0.797794
0.148,0.801567
0.149,0.805308
0.15,0.809017
0.151,0.812694
0.152,0.816339
0.153,0.819952
0.154,0.823533
0.155,0.827081
0.156,0.830596
0.157,0.834078
0.158,0.837528
0.159,0.840945
0.16,0.844328
0.161,0.847678
0.162,0.850994
0.163,0.854277
0.164,0.857527
0.165,0.860742
0.166,0.863923
0.167,0.867071
0.168,0.870184
0.169,0.873262
0.17,0.876307
0.171,0.879316
0.172,0.882291
0.173,0.885231
0.174,0.888136
0.175,0.891007
0.176,0.893841
0.177,0.896641
0.178,0.899405
0.179,0.902134
0.18,0.904827
0.181,0.907484
0.182,0.910106
0.183,0.912692
0.184,0.915241
0.185,0.917755
0.186,0.920232
0.187,0.922673
0.188,0.925077
0.189,0.927445
0.19,0.929776
0.191,0.932071
0.192,0.934329
0.193,0.93655
0.194,0.938734
0.195,0.940881
0.196,0.942991
0.197,0.945063
0.198,0.947098
0.199,0.949096
0.2,0.951057
0.201,0.952979
0.202,0.954865
0.203,0.956712
0.204,0.958522
0.205,0.960294
0.206,0.962028
0.207,0.963724
0.208,0.965382
0.209,0.967001
0.21,0.968583
0.211,0.970127
0.212,0.971632
0.213,0.973099
0.214,0.974527
0.215,0.975917
0.216,0.977268
0.217,0.978581
0.218,0.979855
0.219,0.981091
0.22,0.982287
0.221,0.983445
0.222,0.984564
0.223,0.985645
0.224,0.986686
0.225,0.987688
0.226,0.988652
0.227,0.989576
0.228,0.990461
0.229,0.991308
0.23,0.992115
0.231,0.992883
0.232,0.993611
0.233,0.994301
0.234,0.994951
0.235,0.995562
0.236,0.996134
0.237,0.996666
0.238,0.997159
0.239,0.997613
0.24,0.998027
0.241,0.998402
0.242,0.998737
0.243,0.999033
0.244,0.999289
0.245,0.999507
0.246,0.999684
0.247,0.999822
0.248,0.999921
0.249,0.99998
0.25,1
0.251,0.99998
0.252,0.999921
0.253,0.999822
0.254,0.999684
0.255,0.999507
0.256,0.999289
0.257,0.999033
0.258,0.998737
0.259,0.998402
0.26,0.998027
0.261,0.997613
0.262,0.997159
0.263,0.996666
0.264,0.996134
0.265,0.995562
0.266,0.994951
0.267,0.994301
0.268,0.993611
0.269,0.992883
0.27,0.992115
0.271,0.991308
0.272,0.990461
0.273,0.989576
0.274,0.988652
0.275,0.987688
0.276,0.986686
0.277,0.985645
0.278,0.984564
0.279,0.983445
0.28,0.982287
0.281,0.981091
0.282,0.979855
0.283,0.978581
0.284,0.977268
0.285,0.975917
0.286,0.974527
0.287,0.973099
0.288,0.971632
0.289,0.970127
0.29,0.968583
0.291,0.967001
0.292,0.965382
0.293,0.963724
0.294,0.962028
0.295,0.960294
0.296,0.958522
0.297,0.956712
0.298,0.954865
0.299,0.952979
0.3,0.951057
0.301,0.949096
0.302,0.947098
0.303,0.945063
0.304,0.942991
0.305,0.940881
0.306,0.938734
0.307,0.93655
0.308,0.934329
0.309,0.932071
0.31,0.929776
0.311,0.927445
0.312,0.925077
0.313,0.922673
0.314,0.920232
0.315,0.917755
0.316,0.915241
0.317,0.912692
0.318,0.910106
0.319,0.907484
0.32,0.904827
0.321,0.902134
0.322,0.899405
0.323,0.896641
0.324,0.893841
0.325,0.891007
0.326,0.888136
0.327,0.885231
0.328,0.882291
0.329,0.879316
0.33,0.876307
0.331,0.873262
0.332,0.870184
0.333,0.867071
0.334,0.863923
0.335,0.860742
0.336,0.857527
0.337,0.854277
0.338,0.850994
0.339,0.847678
0.34,0.844328
0.341,0.840945
0.342,0.837528
0.343,0.834078
0.344,0.830596
0.345,0.827081
0.346,0.823533
0.347,0.819952
0.348,0.816339
0.349,0.812694
0.35,0.809017
0.351,0.805308
0.352,0.801567
0.353,0.797794
0.354,0.79399
0.355,0.790155
0.356,0.786288
0.357,0.782391
0.358,0.778462
0.359,0.774503
0.36,0.770513
0.361,0.766493
0.362,0.762443
0.363,0.758362
0.364,0.754251
0.365,0.750111
0.366,0.745941
0.367,0.741742
0.368,0.737513
0.369,0.733255
0.37,0.728969
0.371,0.724653
0.372,0.720309
0.373,0.715936
0.374,0.711536
0.375,0.707107
0.376,0.70265
0.377,0.698165
0.378,0.693653
0.379,0.689114
0.38,0.684547
0.381,0.679953
0.382,0.675333
0.383,0.670686
0.384,0.666012
0.385,0.661312
0.386,0.656586
0.387,0.651834
0.388,0.647056
0.389,0.642253
0.39,0.637424
0.391,0.63257
0.392,0.627691
0.393,0.622788
0.394,0.61786
0.395,0.612907
0.396,0.60793
0.397,0.60293
0.398,0.597905
0.399,0.592857
0.4,0.587785
0.401,0.58269
0.402,0.577573
0.403,0.572432
0.404,0.567269
0.405,0.562083
0.406,0.556876
0.407,0.551646
0.408,0.546394
0.409,0.541121
0.41,0.535827
0.411,0.530511
0.412,0.525175
0.413,0.519817
0.414,0.51444
0.415,0.509041
0.416,0.503623
0.417,0.498185
0.418,0.492727
0.419,0.48725
0.42,0.481754
0.421,0.476238
0.422,0.470704
0.423,0.465151
0.424,0.45958
0.425,0.45399
0.426,0.448383
0.427,0.442758
0.428,0.437116
0.429,0.431456
0.43,0.425779
0.431,0.420086
0.432,0.414376
0.433,0.408649
0.434,0.402906
0.435,0.397148
0.436,0.391374
0.437,0.385584
0.438,0.379779
0.439,0.373959
0.44,0.368125
0.441,0.362275
0.442,0.356412
0.443,0.350534
0.444,0.344643
0.445,0.338738
0.446,0.33282
0.447,0.326888
0.448,0.320944
0.449,0.314987
0.45,0.309017
0.451,0.303035
0.452,0.297042
0.453,0.291036
0.454,0.285019
0.455,0.278991
0.456,0.272952
0.457,0.266902
0.458,0.260842
0.459,0.254771
0.46,0.24869
0.461,0.242599
0.462,0.236499
0.463,0.230389
0.464,0.224271
0.465,0.218143
0.466,0.212007
0.467,0.205863
0.468,0.19971
0.469,0.193549
0.47,0.187381
0.471,0.181206
0.472,0.175023
0.473,0.168833
0.474,0.162637
0.475,0.156434
0.476,0.150226
0.477,0.144011
0.478,0.13779
0.479,0.131564
0.48,0.125333
0.481,0.119097
0.482,0.112856
0.483,0.106611
0.484,0.100362
0.485,0.0941083
0.486,0.0878512
0.487,0.0815906
0.488,0.0753268
0.489,0.06906
0.49,0.0627905
0.491,0.0565185
0.492,0.0502443
0.493,0.0439681
0.494,0.0376902
0.495,0.0314108
0.496,0.0251301
0.497,0.0188484
0.498,0.012566
0.499,0.00628314
0.5,-2.09798e-15
0.501,-0.00628314
0.502,-0.012566
0.503,-0.0188484
0.504,-0.0251301
0.505,-0.0314108
0.506,-0.0376902
0.507,-0.0439681
0.508,-0.0502443
0.509,-0.0565185
0.51,-0.0627905
0.511,-0.06906
0.512,-0.0753268
0.513,-0.0815906
0.514,-0.0878512
0.515,-0.0941083
0.516,-0.100362
0.517,-0.106611
0.518,-0.112856
0.519,-0.119097
0.52,-0.125333
0.521,-0.131564
0.522,-0.13779
0.523,-0.144011
0.524,-0.150226
0.525,-0.156434
0.526,-0.162637
0.527,-0.168833
0.528,-0.175023
0.529,-0.181206
0.53,-0.187381
0.531,-0.193549
0.532,-0.19971
0.533,-0.205863
0.534,-0.212007
0.535,-0.218143
0.536,-0.224271
0.537,-0.230389
0.538,-0.236499
0.539,-0.242599
0.54,-0.24869
0.541,-0.254771
0.542,-0.260842
0.543,-0.266902
0.544,-0.272952
0.545,-0.278991
0.546,-0.285019
0.547,-0.291036
0.548,-0.297042
0.549,-0.303035
0.55,-0.309017
0.551,-0.314987
0.552,-0.320944
0.553,-0.326888
0.554,-0.33282
0.555,-0.338738
0.556,-0.344643
0.557,-0.350534
0.558,-0.356412
0.559,-0.362275
0.56,-0.368125
0.561,-0.373959
0.562,-0.379779
0.563,-0.385584
0.564,-0.391374
0.565,-0.397148
0.566,-0.402906
0.567,-0.408649
0.568,-0.414376
0.569,-0.420086
0.57,-0.425779
0.571,-0.431456
0.572,-0.437116
0.573,-0.442758
0.574,-0.448383
0.575,-0.45399
0.576,-0.45958
0.577,-0.465151
0.578,-0.470704
0.579,-0.476238
0.58,-0.481754
